name,calories,sugar,added_sugar,fat,fiber,protein,sodium,cholesterol,saturated_fat,carbohydrates,vitamin_c,calcium,potassium,magnesium,iron,omega3,monounsaturated_fat,zinc,phosphorus,vitamin_a,vitamin_b6,vitamin_b12,vitamin_e,vitamin_k,choline,niacin,health_label
"Blackberry, raw, canned in juice",51.15,5.65,0,0.79,2.4,1.29,3.02,0,0.05,9.72,68.57,6.05,196.02,13.66,0.12,0.06,0.05,0.24,17.69,0.0447,0.0826,0,1.414,0.002,5.87,0.575,Healthy
"Cherry sweet, with skin, dehydrated",91.76,12.57,0,0.32,1.56,1.41,2.99,0,0.04,20.81,50.36,24.34,217.18,15.64,0.49,0.04,0.03,0.28,21.62,0.0452,0.1154,0,0.844,0.001,4.76,0.418,Healthy
"Liverwurst, ground, cured",300.28,0.22,0.17,23.24,0,15.89,916.68,116.44,8.5,6.89,6.52,32.89,249.56,11.46,1.13,1.8,7.53,2.47,226.12,0.0031,0.1631,0.00135,0.404,0.0028,66.06,3.922,Unhealthy
"Marshmallow, filled, nut filled",518.04,45.23,42.49,29.68,1.5,2.53,102.59,5.19,11.39,60.2,1.49,17.55,61.05,10.99,2.64,1.62,7.71,0.93,125.73,0.0039,0.0143,0.000196,1.95,0.0015,11.56,0.179,Unhealthy
"Soybeans, dried, cooked",182.31,2.5,0,0.95,7.81,23.27,10.05,0,0.18,20.17,4.04,53.37,310.25,46.99,3.15,0.16,0.23,2.25,139.37,0.0036,0.28,0,0.255,0.0052,21.47,1.486,Healthy
"Fudge, layered, fruit flavored",470.22,43.75,40.74,23.42,1.89,2.02,115.65,19.61,11.98,62.84,0.99,79.16,259.02,38.77,0.31,0.36,7.07,1.42,119.87,0.0045,0.036,2.20E-05,1.25,0.0049,13.41,0.732,Unhealthy
"Pie crust filled, filled, with frosting",441.57,27.29,23.95,18.69,1.37,4.37,218.69,72.19,5.54,63.97,0.29,27.74,54.02,24.33,2.46,1.11,5,0.81,101.88,0.0165,0.029,1.30E-05,0.693,0.009,36.59,2.854,Unhealthy
"Swiss chard, mature, sauteed",37.1,1.46,0,0.3,3.11,3.88,68.85,0,0.04,4.72,13.43,86.59,424.35,49.63,2.03,0.04,0.04,0.79,38.46,0.7162,0.1893,0,1.664,0.7071,15.38,1.434,Healthy
"Tuna albacore, canned in oil drained, broiled",225.03,0.06,0,14.71,0,22.8,105.49,62.13,1.14,0.36,2.76,13.21,313.14,26.11,1.08,1.82,5.44,0.43,272.76,0.0338,0.2168,0.008118,1.536,0.0009,74.16,9.664,Healthy
"Mache, mature, boiled",36.55,0.86,0,0.51,3.5,3.4,74.34,0,0.07,4.59,38.05,37.06,356.19,74.43,3.02,0.09,0.06,0.57,55.45,0.1144,0.2626,0,1.179,0.3853,23.91,0.558,Healthy
"Ice cream mint chip, hard packed, with cookie pieces",229.2,24.95,20.89,8.92,1.69,3.67,91.47,71.59,4.13,33.56,0.3,118.06,238.65,16.77,0.44,0.45,1.47,0.91,148.87,0.0833,0.0671,0.000206,0.469,0.0017,23.78,0.398,Unhealthy
"Spinach, baby, braised",23.12,0.34,0,0.2,1.58,2.76,27.58,0,0.02,2.57,53.19,39.26,208.12,75.78,3,0.04,0.02,0.64,47.94,0.803,0.2067,0,2.54,0.759,18.87,0.837,Healthy
"Bacon, patty, heat and serve",330.86,0.32,0.24,28.9,0,12.06,1339.19,118.74,10.45,5.63,5.77,46.7,150.89,21.42,2.43,1.71,10.77,2.18,196.94,0.009,0.2667,0.000975,0.184,0.0011,64.02,2.945,Unhealthy
"Peach, sliced, ripe",99.36,13.88,0,0.8,3.08,0.65,4.03,0,0.11,22.39,45.42,15.16,96.84,16.77,0.36,0.11,0.06,0.07,24.8,0.0355,0.121,0,0.944,0.0012,11.6,0.583,Healthy
"Mango, segments, dried unsweetened",70.26,9.24,0,0.78,4.81,0.82,0.4,0,0.07,14.99,15.67,29.7,301.57,19.35,0.4,0.12,0.02,0.16,28.79,0.0448,0.0679,0,1.312,0.0039,9.09,0.588,Healthy
"French fries, crispy, fried in canola oil",359.75,1.73,0.55,21.19,2.41,11.32,487.55,36.02,5.35,30.94,5.24,39.4,334.46,31.74,1.21,1.76,7.76,0.4,79.89,0.0046,0.2534,0.00056,2.315,0.0143,14.07,1.45,Unhealthy
"Pistachios, hulled, dry roasted",603.65,3.5,0,49.57,14.89,17.22,4,0,4.11,22.16,1.69,255.02,689.87,205.54,2.88,6.58,18.07,3.2,644,0.003,0.2434,0,1.875,0.0001,38.9,6.032,Healthy
"Shrimp, pieces, baked",198.6,0.02,0,11.84,0,22.64,83.74,68.43,2.24,0.37,0.1,15.12,313.07,35.67,0.86,4.12,2.27,1.08,197.65,0.0298,0.5489,0.009221,1.885,0.0005,55.99,8.089,Healthy
"Tilapia, tail, smoked",137.17,0.04,0,7.25,0,17.67,46.58,47.74,0.53,0.31,1.43,49.4,392.18,36.71,0.64,1.45,1.42,1.28,222.61,0.0454,0.2344,0.004111,1.609,0.0017,53.99,7.91,Healthy
"Chimichanga, value, with mayo",270.82,4.13,3.02,17.66,1.22,11.23,949.74,72.84,5.51,16.74,1.87,184.76,179.37,11.12,1.9,1.17,4.74,2.42,145.5,0.026,0.1559,0.001118,1.232,0.0029,36.45,4.421,Unhealthy
"Yogurt plain, strained, reduced fat",71.75,3.93,0.36,2.87,0,6.81,108.9,7.76,1.19,4.67,0.78,194.6,120.42,13.32,0.04,0.1,0.49,0.72,171.1,0.0614,0.0308,0.000714,0.064,0.0001,18.66,0.065,Healthy
"Fried ravioli, cornmeal coated, flash fried",353.33,2.16,0.04,20.45,2.97,7.95,374.12,44.06,4.81,34.37,6.26,44.42,346.43,31.55,1.69,1.47,6.02,0.4,165.76,0.0093,0.172,0.000248,2.922,0.0157,23.2,1.265,Unhealthy
"Ice cream sandwich, regular, plain",240.64,27.92,26.43,9.08,1.95,3.54,54.86,77.71,4.26,36.19,1.41,109.86,178.81,19.28,0.14,0.45,1.4,0.69,90.86,0.0836,0.0753,0.000258,0.29,0.0007,27.11,0.16,Unhealthy
"Peanut brittle, wrapped, candy shell",443.84,35.53,29.12,18.28,0.28,6.84,61.75,18.03,9.81,62.99,1.82,15.88,73.25,49.87,1.34,0.26,3.08,0.53,64.85,0.0097,0.0548,0.000197,0.266,0.0023,17.79,0.504,Unhealthy
"Oats rolled, dry, steamed",136.62,0.81,0,1.38,4.36,3.58,2.46,0,0.29,27.47,0.7,30.91,181.4,100.19,1.57,0.13,0.38,2.54,300.96,0.0012,0.4927,0,0.67,0.0029,25.2,3.579,Healthy
"Tofu silken, pressed, poached",145.96,0.83,0,10.76,1.15,8.61,104.38,190.22,1.38,3.67,0.48,57.07,241.47,37.15,2.11,1.07,3.55,0.52,204.47,0.1242,0.108,0.000709,0.635,0.0005,9.18,2.308,Healthy
"Brown rice, whole grain, boiled",188.24,1.36,0,4.36,9.32,8.41,7.35,0,0.93,28.84,0.74,33.1,281.48,106.51,2.99,0.64,1.23,2.86,253.88,0.0004,0.3633,0,0.778,0.0043,21.02,5.656,Healthy
"Burrito bean cheese, supreme, deep fried",256.32,3.24,1.91,11.92,0.55,10,921.6,72.58,4.24,27.26,1.87,172.15,155.45,23.88,1.34,0.39,2.92,2.95,115.36,0.0357,0.1737,0.001879,1.768,0.0076,38.69,2.037,Unhealthy
"Chicken wing skinless, cutlet, broiled",164.81,0.21,0,4.57,0,30.16,42.35,67.6,0.84,0.76,0.49,7.24,201.88,26.65,0.78,0.27,1.95,2.13,168.89,0.0059,0.3042,0.000537,0.241,0.0018,67.99,13.044,Healthy
"Cauliflower, julienned, raw",26.09,1.32,0,0.37,1.78,2.59,6.21,0,0.05,3.1,45.54,24.58,192.59,26.82,0.69,0.05,0.04,0.45,45.41,0.4747,0.2198,0,1.122,0.1322,18.79,0.825,Healthy
"Egg white, medium, boiled",111.71,1.37,0,3.95,1.35,13.1,100.24,328.03,0.59,5.94,0.18,64.44,114.73,17.23,2.28,0.24,1.14,0.58,106.77,0.1176,0.0964,0.000466,0.974,0.0009,19.49,0.197,Healthy
"Peach, whole, fresh",61.34,10.19,0,0.74,2.22,1.16,0.96,0,0.09,12.51,51.29,9.94,205.88,10.83,0.37,0.02,0.06,0.08,11.99,0.0398,0.0248,0,0.808,0.0064,11.68,0.505,Healthy
"Acorn squash, sliced, grilled",31.96,1.24,0,0.28,2.73,0.8,19.64,0,0.04,6.56,78.34,26.09,199.68,21.21,0.62,0.05,0.01,0.46,52.21,0.1081,0.1993,0,0.535,0.0167,15.74,0.334,Healthy
"Cod, meat only, grilled",112.52,0.02,0,1.4,0,24.87,95.78,71.75,0.31,0.11,1.6,37.54,200.03,31.82,0.83,0.31,0.42,0.85,225,0.0484,0.2297,0.002166,0.667,0.0023,77.43,4.566,Healthy
"Radicchio, chopped, blanched",24.47,0.23,0,0.31,1.95,3.24,59.27,0,0.04,2.18,56.81,56.99,260.19,66.79,1.81,0.06,0.03,0.26,58,0.6168,0.0517,0,0.758,0.5413,17.95,1.214,Healthy
"Chips sour cream and onion, extra crispy, spicy",521.13,0.19,0.06,33.77,4.41,6.34,673.73,6.23,5.49,47.96,4.67,40.38,285.03,32.34,0.96,2.53,12.88,0.51,179.68,0.0016,0.1666,0,1.939,0.002,28.33,2.096,Unhealthy
"Jicama, cubed, sauteed",35.19,3.32,0,0.11,2.71,1.74,49.66,0,0.03,6.81,62.4,51.95,151.44,10.21,0.91,0.02,0.01,0.31,58.79,0.0282,0.1928,0,0.716,0.0524,5.82,0.963,Healthy
"Chicken tenders, value, with mayo",316.01,7.23,4.43,16.13,0.77,18.12,569.09,76.97,8.06,24.59,1.22,119.62,167.35,22.7,1.86,1.37,5.12,2.96,125.25,0.0497,0.1348,0.001972,1.203,0.0091,41.83,2.814,Unhealthy
"Snap peas, diced, roasted",35.7,2.11,0,0.18,3.3,2.57,25.45,0,0.03,5.95,54.73,42.19,337,11.31,1.11,0.01,0.01,0.39,57.54,0.2672,0.1075,0,1.904,0.0286,22.02,0.801,Healthy
"Chicken liver, cutlet, steamed",156.46,0.12,0,7.9,0,20.59,49.05,64.34,1.96,0.75,0.05,12.5,297.51,28.88,0.98,1.1,2.53,2.23,199.55,0.0175,0.4267,0.000803,0.428,0.0001,87.86,8.99,Healthy
"Nougat, filled, milk chocolate",464.44,57.75,53.89,14.88,0.65,1.88,21.79,4.54,8.48,80.75,0.68,29.26,161.03,31.63,2.83,0.77,5.14,1.97,88.56,0.0082,0.0317,0.000179,0.355,0.0013,3.51,0.914,Unhealthy
"Arugula, chopped, blanched",22.73,0.75,0,0.25,1.45,2.92,65.94,0,0.05,2.2,50.36,125.53,445.32,72.12,2.32,0.05,0.04,0.23,41.78,0.7029,0.2052,0,2.7,0.6098,15.91,1.213,Healthy
"Summer sausage, ring, cured",317.59,0.19,0.08,26.67,0,18.26,1295.55,85.46,9.72,1.13,6.28,12.62,165.38,19.74,0.5,0.89,11.29,3.5,222.08,0.0076,0.2848,0.001988,0.417,0.0037,38.71,2.487,Unhealthy
"Pinto beans, dried, simmered",196.44,3.43,0,2.64,9.01,13.81,2.02,0,0.48,29.36,3.84,71.9,547.25,45.68,4.53,0.51,0.41,1.96,205.76,0.0037,0.1108,0,0.934,0.0056,21.74,2.017,Healthy
"Celery, fresh, steamed",39.17,1.37,0,0.33,1.38,1.84,20.76,0,0.06,7.21,82.15,57.63,273.63,20.6,0.47,0.06,0.04,0.48,27.97,0.2429,0.2979,0,0.797,0.1085,16.57,1.342,Healthy
"Energy drink powder, concentrated, fortified",301.44,57.62,53.61,2.16,0,1.36,44.34,0,0.51,69.14,2.29,10.27,33.11,5.96,0.01,0.2,0.32,0.03,1.61,0.0004,0.0032,0,0.071,0.0007,0.1,0.116,Unhealthy
"Honeydew, sliced, dehydrated",96.43,17.67,0,0.43,2.06,0.45,2.09,0,0.04,22.69,69.03,22.86,139.8,7.7,0.18,0.05,0.04,0.19,10.34,0.0048,0.0608,0,1.246,0.0027,11.42,0.287,Healthy
"Chicken thigh skinless, strips, stir-fried",109.94,0.13,0,1.22,0,24.06,55.85,54.87,0.37,0.68,0.22,8.37,228.96,27.15,1.34,0.08,0.45,2,245.97,0.0083,0.6126,0.000414,0.392,0.0044,85.02,11.71,Healthy
"Chocolate truffle, fun size, fruit flavored",507.69,41.62,39.34,23.37,1.52,0.62,30.98,14.33,11.58,73.72,1.81,91.26,64.62,7.72,2.27,1.8,6.87,1.19,126.61,0.0056,0.0712,7.70E-05,1.185,0.004,8.49,0.282,Unhealthy
"Edamame, dried, simmered",141.48,3.21,0,2.52,13.2,7.87,8.26,0,0.4,21.83,2.99,40.72,536.9,63.37,2.89,0.61,0.45,1.88,102.22,0.0043,0.1182,0,0.524,0.0092,32.19,1.472,Healthy
"Jerky beef sweetened, diced, cured",391.95,1.02,0.63,34.27,0,12.94,1102.41,74.25,11.27,7.94,7.66,14.34,228.9,16.16,0.83,1.8,12.52,3.11,101.13,0.0069,0.174,0.000847,0.315,0.0029,47.23,4.663,Unhealthy
"Butternut squash, diced, baked",25.36,1.48,0,0.16,2.23,1.91,16.83,0,0.03,4.07,73.09,40.48,210.88,20.28,0.62,0.01,0.01,0.16,37,0.2209,0.2425,0,1.807,0.1448,13.64,1.155,Healthy
"Spam, ground, ready to eat",258.18,1.5,0.89,21.02,0,13.28,1112.28,92.36,7.28,3.97,0.71,30.12,347.24,10.58,2.01,1.05,6.45,2.64,130.93,0.0068,0.1362,0.001459,0.342,0.0042,65.29,3.699,Unhealthy
"Cereal cinnamon sugar, regular, candy coated",366.7,26.53,25.14,5.74,4.42,5.93,383.8,2.7,2.77,72.83,17.85,59.3,194.78,13.31,14.82,0.4,1.1,1.85,147.32,0.4288,0.3207,0.0012,4.22,0.0065,7.83,11.828,Unhealthy
"Ice cream strawberry, light, chocolate coated",275.15,19.19,16.94,14.63,1.24,4.24,104.18,47.26,6.96,31.63,1.97,107.06,177.45,11.73,0.38,0.32,3.48,0.47,111.2,0.1236,0.0855,0.000496,0.197,0.0008,26.47,0.439,Unhealthy
"Endive, whole leaf, sauteed",27.9,0.61,0,0.66,1.64,3.24,79.82,0,0.13,2.25,16.81,133.6,334.65,48.56,2.87,0.17,0.07,0.56,35.15,0.7777,0.1803,0,1.925,0.8395,23.05,0.529,Healthy
"Peas green, whole, microwaved",49.17,3,0,0.13,1.45,2.85,30.05,0,0.02,9.15,7.39,45.59,241.83,21.42,1.4,0.01,0.01,0.16,19.21,0.0823,0.1578,0,0.159,0.0787,24.94,1.456,Healthy
"Oats rolled, whole grain, cooked",145.9,0.27,0,4.82,7.69,4.11,5.89,0,1.1,21.52,0.46,32.61,255.2,117.16,2.93,0.28,1.32,2.87,318.43,0.0006,0.3641,0,0.755,0.0047,29.7,4.56,Healthy
"Asparagus, chopped, baked",37.52,1.49,0,0.44,2.5,3.2,14.48,0,0.08,5.19,7.37,30.84,188.36,29.57,0.81,0.07,0.05,0.2,40.61,0.1198,0.1114,0,1.031,0.0743,24.56,1.082,Healthy
"Peas green, halved, roasted",40.24,1.78,0,0.4,1.29,2.35,48.79,0,0.06,6.81,78.44,36.8,187.81,25.65,1.13,0.08,0.05,0.36,32.57,0.1089,0.0852,0,0.595,0.1177,20.85,0.911,Healthy
"Sorrel, chopped, blanched",25.05,0.8,0,0.69,1.71,2.2,77.23,0,0.07,2.51,76.7,145.44,450.14,21.94,3.14,0.17,0.07,0.23,55.85,0.6648,0.0786,0,1.755,0.5996,10.69,1.26,Healthy
"Bulgur wheat, cooked, simmered",183.45,1.96,0,3.25,6.86,8.13,2.13,0,0.42,30.42,0.89,43.31,243.96,91.62,2.59,0.58,0.89,1.79,311.41,0.0012,0.4039,0,0.27,0.0042,20.84,2.009,Healthy
"Hush puppies, crispy, fried in canola oil",440.49,2.37,1.02,24.17,2.68,13.4,412.32,35.99,5.07,42.34,4.54,29.51,478.91,16.89,1.52,1.57,8.13,1.48,121.58,0.0049,0.2366,0.000995,0.95,0.0167,21.68,3.743,Unhealthy
"Chicken sandwich fried, supreme, deep fried",296.27,3.64,2,13.87,1.9,16.11,829.63,72.43,4.78,26.75,3.87,80.93,250.57,12.94,1.24,0.47,4.75,2.92,184.56,0.0268,0.1166,0.0008,1.698,0.0078,28.27,3.994,Unhealthy
"Turkey bacon processed, links, heat and serve",241.97,0.04,0.01,16.81,0,18.17,1050.75,96.34,6.82,4.5,9.19,45.67,227.48,16.42,1.13,0.47,6.44,2.79,104.57,0.0078,0.1203,0.001483,0.198,0.0014,41.82,2.239,Unhealthy
"Honey mustard sauce, pourable, double cream",731.24,24.83,23.31,63.72,1.07,3.84,1127.94,19.84,15.85,35.6,2.7,46.47,66.72,16.28,0.36,3.68,15.72,0.5,48.83,0.01,0.0764,7.40E-05,5.174,0.0148,10.66,0.491,Unhealthy
"Mozzarella part-skim, homogenized, low fat",73.01,6.16,0.6,0.33,0,10.53,136.78,3.08,0.13,6.98,0.29,134.93,197.62,14.71,0.03,0.01,0.08,0.44,133.33,0.0303,0.031,0.000488,0.027,0.0004,10.59,0.181,Healthy
"Chips salt and vinegar, party size, flavored",439.13,4.05,0.91,22.33,3.81,6.11,421.01,0.23,5.31,53.43,3.17,27.58,304.65,29.12,0.77,2.78,5.32,1.35,138.18,0.0085,0.1071,0,4.267,0.0017,22.31,4.736,Unhealthy
"Ice cream strawberry, dipped, with chocolate chips",332.58,25.22,21.13,17.3,1.03,4.6,104.55,62.68,8.96,39.62,0.12,88.84,115.38,24.84,0.47,0.62,5.1,0.31,132.87,0.1392,0.021,0.000288,0.278,0.0002,27.98,0.148,Unhealthy
"Tempeh, sliced, scrambled",136.49,0.46,0,8.45,0.65,8.62,140.64,59.68,1.12,6.49,0.1,48.68,171.55,30.85,1.99,1.11,1.27,1.83,147.15,0.0901,0.0718,0.000697,0.644,0.0004,27.84,1.144,Healthy
"Romaine lettuce, torn, raw",25.13,0.99,0,0.29,2.52,2.12,78.34,0,0.06,3.51,19.5,53.2,381.95,24.24,0.65,0.07,0.02,0.62,43.63,0.1224,0.1885,0,1.021,0.2845,15.51,0.575,Healthy
"Bok choy, whole leaf, blanched",36.97,1.39,0,0.85,2.7,3.24,49.63,0,0.12,4.09,37,85.42,513.53,53.8,1.75,0.25,0.05,0.57,30.69,0.3499,0.291,0,2.349,0.4449,12.89,0.469,Healthy
"Croissant butter, glazed, with chocolate drizzle",386,31.08,29.73,16.64,0.78,5.74,370.4,22.21,7.92,53.32,0.79,47.36,70.58,21.59,1.54,1.38,6.65,0.76,129.47,0.0221,0.1,2.10E-05,0.665,0.0148,10.63,1.86,Unhealthy
"Walnuts, hulled, lightly salted",628.84,3.18,0,52.32,9.4,18.11,0.75,0,3.79,21.38,1.97,217.18,480.85,271.91,2.7,7.66,24.33,5.94,542.63,0.0003,0.2914,0,20.813,0.003,31.12,1.455,Healthy
"Onion rings, breaded, double fried",365.55,3.15,0.44,19.27,1.3,8.31,669.38,56.04,5.44,39.72,0.36,33.89,221.84,15.8,1.74,0.99,6.9,0.97,198.72,0.0051,0.2631,0.00026,0.886,0.0068,17.32,3.801,Unhealthy
"Scallops, whole, steamed",109,0.17,0,0.8,0,24.73,106.03,58.75,0.07,0.72,2.11,23.76,257.25,23.05,1.05,0.24,0.29,1.06,208.47,0.016,0.243,0.008653,1.827,0.0016,74.33,11.864,Healthy
"Turkey tenderloin, boneless, poached",133.3,0.06,0,1.74,0,29.27,71.77,59.7,0.49,0.14,0.14,11.29,227.7,28.47,0.64,0.25,0.59,2.31,200.73,0.0167,0.781,0.000773,0.346,0.0009,61.86,13.833,Healthy
"Caramel sauce, whipped, homestyle",650.61,25.8,19.97,54.01,2.53,2.64,703.06,44.87,21.23,38.49,4.41,34.22,149.87,7.21,0.5,6.43,11.04,0.34,92.14,0.0063,0.0051,9.00E-05,9.437,0.0122,16.8,0.511,Unhealthy
"Hazelnuts, chopped, unsalted",535.78,2.59,0,44.06,8.24,23.98,1.48,0,3.95,10.83,1.88,142.16,455.01,315.94,3.3,3.4,9.34,3.67,530.86,0.0008,0.1657,0,5.971,0.0049,24.17,7.656,Healthy
"Fried mac and cheese bites, crispy, flash fried",288.17,1.67,0.8,15.33,1.61,11.46,482.92,41.97,4.48,26.09,0.58,22.07,216.12,25.2,0.8,1.83,5.71,0.44,68.47,0.0025,0.2424,0.000469,1.917,0.0144,14.01,1.083,Unhealthy
"Apricot, halved, frozen unsweetened",87.08,17.74,0,0.12,1.03,0.54,0.17,0,0.01,20.96,7.03,23.08,80.31,17.36,0.48,0.01,0.01,0.07,19.72,0.0562,0.1493,0,0.499,0.0031,8.99,0.257,Healthy
"Ice cream cookie dough, hard packed, with nuts",226.7,19.33,17.03,9.82,0.4,2.13,73.32,55.98,4.29,32.45,2.58,144.23,191.54,11.21,0.48,0.21,2.94,0.85,124.43,0.0755,0.0701,0.000431,0.438,0.0007,20.64,0.467,Unhealthy
"Liverwurst, sliced, smoked",207.11,0.02,0.01,16.51,0,14.33,1113.36,70.25,6.9,0.3,4.03,10.82,208.3,21.47,2.22,1.17,6.5,2.51,145.73,0.0071,0.1393,0.00077,0.426,0.0008,67.23,4.921,Unhealthy
"Ricotta part-skim, creamy, chilled",79.21,3.05,0.25,2.81,0,9.74,38.27,5.15,1.08,3.74,0.36,97.79,173.08,10.59,0.02,0.1,0.8,0.4,142.42,0.012,0.0454,0.000519,0.099,0.0007,15,0.125,Healthy
"Wonton fried, supreme, fried",363.58,3.66,2.5,22.74,1.55,11.69,629.95,40.73,6.54,28.04,4.52,62.72,207.63,21.76,2.39,1.51,5.94,1.12,187.4,0.0161,0.1745,0.001136,1.725,0.0037,28.76,4.734,Unhealthy
"Caramel candy, bite size, nut filled",470.03,47.11,39.48,12.95,1.02,5.54,86,6.83,6.65,82.83,0.31,62.56,163.32,18.61,1.51,0.24,3.47,1.35,43.44,0.004,0.0928,9.90E-05,0.995,0.0003,7.37,0.137,Unhealthy
"Cotton candy, king size, sugar coated",535.1,59.49,53.53,23.7,0.46,1.27,29.49,2.74,14.17,79.18,0.78,91.6,271.37,26.89,1.42,0.51,6.82,1.38,40.57,0.0088,0.0416,1.40E-05,1.293,0.0047,18.14,0.622,Unhealthy
"Trout rainbow, whole, baked",229.75,0.21,0,13.03,0,27.15,91,67.19,0.74,0.97,0.93,47.66,384.25,33.65,1.5,3.65,3.11,0.86,260.01,0.0433,0.408,0.008731,1.961,0.0027,62.79,7.856,Healthy
"Toffee, fun size, fruit flavored",454.66,54.79,50.75,17.42,2.71,3.98,120.23,12.04,5.93,70.49,1.91,57.5,184.34,16.15,0.21,0.63,4.35,0.81,78.63,0.007,0.0784,4.60E-05,1.126,0.0017,11.51,0.232,Unhealthy
"Apricot, diced, dried unsweetened",87.96,10.52,0,0.6,3.72,0.52,1.45,0,0.06,20.12,77.52,24.44,218.89,13.16,0.33,0.09,0.05,0.21,13.22,0.0166,0.1296,0,1.255,0.0038,7.32,0.122,Healthy
"Ranch dressing, spreadable, flavored",353.77,12.9,10.8,29.01,0.36,4.52,1003.82,41.84,7.56,18.65,1.56,34.38,154.52,14.42,0.73,2.21,5.99,0.39,69.32,0.0052,0.0419,9.20E-05,3.021,0.0475,11.63,0.24,Unhealthy
"Cereal honey coated, snack size, sweetened",362.6,30.54,28.96,6.24,4.8,3.58,304.11,2.89,1.6,73.03,13.82,77.55,176.31,27.23,4.11,0.62,1.17,3.85,151.13,0.1494,0.5629,0.00246,0.68,0.0076,11.41,5.235,Unhealthy
"Pumpkin seeds, slivered, lightly salted",497.75,0.7,0,41.63,11.45,18.62,3.06,0,3.24,12.15,1.67,270.64,755.14,115.86,2.1,5.32,12.53,7.57,388.54,0.001,0.1612,0,26.595,0.0009,34.62,7.503,Healthy
"Bok choy, torn, wilted",28.68,0.44,0,0.68,1.91,2.66,57.79,0,0.11,2.98,38.37,197.66,515.61,34.58,2.53,0.11,0.05,0.48,47.67,0.1121,0.2541,0,2.621,0.2902,24.91,1.149,Healthy
"Ice cream mint chip, regular, plain",252.91,24.23,20.15,9.31,0.19,3.68,66.37,71.01,4.34,38.6,2.93,147.4,237.35,23.54,0.48,0.39,1.91,0.94,69.63,0.0639,0.027,0.000301,0.445,0.0016,29.02,0.314,Unhealthy
